% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
-5355, -5358, TE, 1550, device, AlignmentYBranch, comment
-5155, -5358, TE, 1310, device, AlignmentYBranch, comment
-5255, -5358, TE, 1310, device, Alignment, comment
-5455, -5358, TE, 1550, device, Alignment, comment
5255, -5358, TE, 1550, device, AlignmentYBranch, comment
5455, -5358, TE, 1310, device, AlignmentYBranch, comment
5355, -5358, TE, 1310, device, Alignment, comment
5155, -5358, TE, 1550, device, Alignment, comment
-5355, 5352, TE, 1550, device, AlignmentYBranch, comment
-5155, 5352, TE, 1310, device, AlignmentYBranch, comment
-5255, 5352, TE, 1310, device, Alignment, comment
-5455, 5352, TE, 1550, device, Alignment, comment
5255, 5352, TE, 1550, device, AlignmentYBranch, comment
5455, 5352, TE, 1310, device, AlignmentYBranch, comment
5355, 5352, TE, 1310, device, Alignment, comment
5155, 5352, TE, 1550, device, Alignment, comment
-4701, -3304, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 147.0nm
-3951, -2044, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 271.0nm
-5451, -3934, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 106.0nm
-2451, -4564, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 100.0nm
-4701, -3934, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 112.0nm
-3201, -4564, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 94.0nm
-3951, -3304, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 156.0nm
-5451, -4564, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 80.0nm
-2451, -3304, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 174.0nm
-5451, -1414, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 320.0nm
-2451, -2674, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 230.0nm
-3201, -3934, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 125.0nm
-4701, -1414, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 339.0nm
-3201, -2044, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 287.0nm
-2451, -3934, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 132.0nm
-5451, -2674, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 184.0nm
-4701, -4564, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 85.0nm
-4701, -2044, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 257.0nm
-2451, -1414, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 400.0nm
-3201, -2674, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 217.0nm
-3951, -1414, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 358.0nm
-2451, -2044, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 303.0nm
-3201, -3304, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 165.0nm
-3201, -1414, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 378.0nm
-5451, -3304, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 139.0nm
-4701, -2674, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 194.0nm
-3951, -3934, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 118.0nm
-3951, -4564, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 89.0nm
-5451, -2044, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 243.0nm
-3951, -2674, TE, 1550, device, pkirwin, Pulley, Ring, Gap, 206.0nm
-1600, -1570, TE, 1550, device, pkirwin, calibration, loopback, 4
-1600, -1730, TE, 1550, device, pkirwin, calibration, loopback, 3
-1600, -1890, TE, 1550, device, pkirwin, calibration, loopback, 2
-1600, -2050, TE, 1550, device, pkirwin, calibration, loopback, 1
-1650, 2446, TE, 1310, device, William, ori, splitter134
-2389, 2063, TE, 1550, device, ring, r48.3, w0.5, g0.176, b50
-2219, 2063, TE, 1550, device, ring, r15.5, w0.5, g0.114, b50
-2219, 2403, TE, 1550, device, ring, r43.5, w0.5, g0.114, b50
-2389, 1893, TE, 1550, device, ring, r30.3, w0.5, g0.16, b50
-2389, 1723, TE, 1550, device, ring, r35.5, w0.5, g0.142, b50
-2219, 2573, TE, 1550, device, ring, r14.3, w0.5, g0.162, b50
-1879, 1893, TE, 1550, device, ring, r21.1, w0.5, g0.129, b50
-2049, 1893, TE, 1550, device, ring, r36.6, w0.5, g0.115, b50
-2559, 2233, TE, 1550, device, ring, r37.4, w0.5, g0.148, b50
-2559, 2063, TE, 1550, device, ring, r46.5, w0.5, g0.14, b50
-2049, 2573, TE, 1550, device, ring, r16.7, w0.5, g0.103, b50
-2389, 2573, TE, 1550, device, ring, r9.8, w0.5, g0.117, b50
-1879, 2403, TE, 1550, device, ring, r46.1, w0.5, g0.109, b50
-2219, 2233, TE, 1550, device, ring, r33.3, w0.5, g0.137, b50
-2559, 2573, TE, 1550, device, ring, r41.7, w0.5, g0.14, b50
-2219, 1723, TE, 1550, device, ring, r8.1, w0.5, g0.146, b50
-1879, 2233, TE, 1550, device, ring, r35.2, w0.5, g0.18, b50
-2559, 2403, TE, 1550, device, ring, r25.9, w0.5, g0.132, b50
-1650, 1946, TE, 1310, device, William, ori, splitter234
-1879, 2063, TE, 1550, device, ring, r16.1, w0.5, g0.121, b50
-2049, 2403, TE, 1550, device, ring, r37.9, w0.5, g0.131, b50
-2049, 2233, TE, 1550, device, ring, r22.3, w0.5, g0.147, b50
-2049, 2063, TE, 1550, device, ring, r28.8, w0.5, g0.154, b50
-1879, 1723, TE, 1550, device, ring, r13.1, w0.5, g0.167, b50
-2219, 1893, TE, 1550, device, ring, r36.3, w0.5, g0.152, b50
-2559, 1723, TE, 1550, device, ring, r33.1, w0.5, g0.15, b50
-2389, 2233, TE, 1550, device, ring, r13.4, w0.5, g0.137, b50
-2049, 1723, TE, 1550, device, ring, r8.9, w0.5, g0.113, b50
-2389, 2403, TE, 1550, device, ring, r14.9, w0.5, g0.108, b50
-2559, 1893, TE, 1550, device, ring, r10.5, w0.5, g0.138, b50
-1879, 2573, TE, 1550, device, ring, r12.5, w0.5, g0.171, b50
-3409, 2573, TE, 1550, device, ring, r14.3, w0.5, g0.162, b50
-2729, 2233, TE, 1550, device, ring, r40.8, w0.5, g0.124, b50
-3239, 2063, TE, 1550, device, ring, r37.9, w0.5, g0.124, b50
-3069, 2573, TE, 1550, device, ring, r22.0, w0.5, g0.133, b50
-2899, 2573, TE, 1550, device, ring, r19.3, w0.5, g0.166, b50
-3069, 2063, TE, 1550, device, ring, r45.4, w0.5, g0.16, b50
-2729, 2573, TE, 1550, device, ring, r16.6, w0.5, g0.149, b50
-2899, 2063, TE, 1550, device, ring, r35.7, w0.5, g0.179, b50
-2899, 2233, TE, 1550, device, ring, r31.2, w0.5, g0.104, b50
-2729, 1893, TE, 1550, device, ring, r10.8, w0.5, g0.161, b50
-3409, 2063, TE, 1550, device, ring, r7.9, w0.5, g0.174, b50
-2729, 2403, TE, 1550, device, ring, r12.1, w0.5, g0.146, b50
-2899, 1893, TE, 1550, device, ring, r12.8, w0.5, g0.178, b50
-3239, 1893, TE, 1550, device, ring, r35.5, w0.5, g0.145, b50
-3239, 2233, TE, 1550, device, ring, r23.0, w0.5, g0.157, b50
-3409, 2403, TE, 1550, device, ring, r28.0, w0.5, g0.164, b50
-2899, 1723, TE, 1550, device, ring, r12.3, w0.5, g0.125, b50
-2729, 1723, TE, 1550, device, ring, r22.5, w0.5, g0.146, b50
-3239, 2403, TE, 1550, device, ring, r27.6, w0.5, g0.177, b50
-3239, 1723, TE, 1550, device, ring, r42.1, w0.5, g0.172, b50
-2729, 2063, TE, 1550, device, ring, r46.6, w0.5, g0.145, b50
-3409, 1893, TE, 1550, device, ring, r45.9, w0.5, g0.147, b50
-3069, 2233, TE, 1550, device, ring, r26.9, w0.5, g0.107, b50
-3239, 2573, TE, 1550, device, ring, r12.5, w0.5, g0.159, b50
-2899, 2403, TE, 1550, device, ring, r23.0, w0.5, g0.11, b50
-3069, 1723, TE, 1550, device, ring, r32.4, w0.5, g0.106, b50
-3409, 2233, TE, 1550, device, ring, r14.0, w0.5, g0.165, b50
-3069, 2403, TE, 1550, device, ring, r29.2, w0.5, g0.175, b50
-3069, 1893, TE, 1550, device, ring, r29.7, w0.5, g0.157, b50
-3409, 1723, TE, 1550, device, ring, r47.7, w0.5, g0.169, b50
-3239, 703, TE, 1550, device, ring, r16.8, w0.5, g0.102, b50
-3069, 873, TE, 1550, device, ring, r6.6, w0.5, g0.104, b50
-2729, 1213, TE, 1550, device, ring, r14.5, w0.5, g0.124, b50
-2729, 703, TE, 1550, device, ring, r37.2, w0.5, g0.164, b50
-3069, 1553, TE, 1550, device, ring, r34.8, w0.5, g0.14, b50
-2729, 1553, TE, 1550, device, ring, r24.7, w0.5, g0.114, b50
-2729, 1043, TE, 1550, device, ring, r6.2, w0.5, g0.15, b50
-3069, 1213, TE, 1550, device, ring, r31.8, w0.5, g0.142, b50
-3069, 703, TE, 1550, device, ring, r37.6, w0.5, g0.154, b50
-3239, 1383, TE, 1550, device, ring, r23.7, w0.5, g0.115, b50
-2899, 873, TE, 1550, device, ring, r25.4, w0.5, g0.101, b50
-3069, 1043, TE, 1550, device, ring, r40.7, w0.5, g0.102, b50
-2729, 873, TE, 1550, device, ring, r45.3, w0.5, g0.109, b50
-3409, 1553, TE, 1550, device, ring, r43.8, w0.5, g0.115, b50
-3409, 873, TE, 1550, device, ring, r9.9, w0.5, g0.126, b50
-2899, 1213, TE, 1550, device, ring, r33.0, w0.5, g0.171, b50
-3409, 1213, TE, 1550, device, ring, r12.1, w0.5, g0.119, b50
-2899, 1043, TE, 1550, device, ring, r19.8, w0.5, g0.137, b50
-3069, 1383, TE, 1550, device, ring, r27.8, w0.5, g0.114, b50
-3239, 1043, TE, 1550, device, ring, r15.9, w0.5, g0.116, b50
-2729, 1383, TE, 1550, device, ring, r39.1, w0.5, g0.17, b50
-3409, 1383, TE, 1550, device, ring, r34.8, w0.5, g0.103, b50
-3239, 1553, TE, 1550, device, ring, r38.6, w0.5, g0.145, b50
-2899, 1383, TE, 1550, device, ring, r9.9, w0.5, g0.1, b50
-3409, 703, TE, 1550, device, ring, r17.1, w0.5, g0.115, b50
-3409, 1043, TE, 1550, device, ring, r6.0, w0.5, g0.15, b50
-3239, 1213, TE, 1550, device, ring, r12.4, w0.5, g0.174, b50
-2899, 1553, TE, 1550, device, ring, r29.5, w0.5, g0.14, b50
-2899, 703, TE, 1550, device, ring, r14.6, w0.5, g0.105, b50
-3239, 873, TE, 1550, device, ring, r31.5, w0.5, g0.162, b50
-1879, 873, TE, 1550, device, ring, r35.7, w0.5, g0.108, b50
-2559, 1553, TE, 1550, device, ring, r38.3, w0.5, g0.173, b50
-1879, 703, TE, 1550, device, ring, r21.2, w0.5, g0.12, b50
-2389, 1553, TE, 1550, device, ring, r34.6, w0.5, g0.12, b50
-2049, 1213, TE, 1550, device, ring, r49.3, w0.5, g0.153, b50
-2049, 703, TE, 1550, device, ring, r24.7, w0.5, g0.118, b50
-1650, 1446, TE, 1310, device, William, ori, splitter124
-2389, 703, TE, 1550, device, ring, r18.8, w0.5, g0.175, b50
-1650, 946, TE, 1310, device, William, ori, splitter123
-2559, 703, TE, 1550, device, ring, r20.4, w0.5, g0.174, b50
-2049, 1553, TE, 1550, device, ring, r40.0, w0.5, g0.115, b50
-1879, 1043, TE, 1550, device, ring, r27.0, w0.5, g0.143, b50
-2049, 873, TE, 1550, device, ring, r23.4, w0.5, g0.138, b50
-2389, 1383, TE, 1550, device, ring, r42.2, w0.5, g0.156, b50
-2219, 1553, TE, 1550, device, ring, r33.7, w0.5, g0.142, b50
-2559, 873, TE, 1550, device, ring, r24.9, w0.5, g0.128, b50
-2389, 873, TE, 1550, device, ring, r32.0, w0.5, g0.146, b50
